Left_B,Front_B,Right_B,Cosine_Angle,Collision,Food_x,Food_y,Head_x,Head_y,Sugg_Direction
0,0,0,63.43,1,120,320,40,160,3
0,0,0,75.96,1,80,320,40,160,3
0,0,0,18.43,1,80,280,40,160,1
0,0,0,26.57,1,80,240,40,160,1
0,0,0,45.0,1,80,200,40,160,1
0,0,0,90.0,1,40,200,40,160,3
0,0,0,0.0,1,40,160,40,160,2
0,0,0,104.04,0,40,120,200,160,3
0,0,0,116.57,0,40,80,200,160,3
0,0,0,126.87,0,40,40,200,160,3
0,0,0,45.0,1,80,40,200,160,3
0,0,0,56.31,1,120,40,200,160,3
0,0,0,71.57,1,160,40,200,160,3
0,0,0,26.57,1,160,80,200,160,1
0,0,0,45.0,1,160,120,200,160,1
0,0,0,90.0,1,160,160,200,160,1
0,0,0,0.0,1,200,160,200,160,2
0,0,0,68.2,1,240,160,320,360,3
0,0,0,78.69,1,280,160,320,360,3
0,0,0,90.0,1,320,160,320,360,3
0,0,0,0.0,1,320,200,320,360,2
0,0,0,0.0,1,320,240,320,360,2
0,0,0,0.0,1,320,280,320,360,2
0,0,0,0.0,1,320,320,320,360,2
0,1,0,0.0,1,320,360,320,360,1
1,0,0,75.96,1,280,360,200,40,3
1,0,0,82.87,1,240,360,200,40,3
1,0,0,90.0,1,200,360,200,40,3
1,0,0,97.13,0,160,360,200,40,3
0,0,0,8.13,1,160,320,200,40,3
0,0,0,9.46,1,160,280,200,40,3
0,0,0,11.31,1,160,240,200,40,3
0,0,0,111.8,0,120,240,200,40,3
0,0,0,120.96,0,80,240,200,40,3
0,0,0,36.87,1,80,200,200,40,3
0,0,0,45.0,1,80,160,200,40,3
0,0,0,56.31,1,80,120,200,40,3
0,0,0,71.57,1,80,80,200,40,3
0,0,0,26.57,1,120,80,200,40,1
