Left_B,Front_B,Right_B,Cosine_Angle,Collision,Food_x,Food_y,Head_x,Head_y,Sugg_Direction,,
0,0,0,26.57,1,240,80,160,240,3,,
0,0,0,75.96,1,200,80,160,240,1,,
0,0,0,18.43,1,200,120,160,240,3,,
0,0,0,90,1,160,120,160,240,1,,
0,0,0,0,1,160,160,160,240,2,,
0,0,0,0,1,160,200,160,240,2,,
0,0,0,0,1,160,240,160,240,2,,
0,0,0,116.57,0,160,280,80,240,3,,
0,0,0,45,1,120,280,80,240,3,,
0,0,1,90,1,120,240,80,240,1,,
0,0,0,0,1,80,240,80,240,2,,
0,0,0,171.87,0,40,240,320,200,3,,
0,0,0,90,1,40,200,320,200,3,,
0,0,1,0,1,80,200,320,200,2,,
0,1,1,0,1,120,200,320,200,1,,
0,0,1,101.31,0,120,160,320,200,1,,
1,0,0,170.54,0,80,160,320,200,2,,
1,0,0,171.87,0,40,160,320,200,2,,
0,1,0,172.87,0,0,160,320,200,1,,
1,0,1,90,1,0,200,320,200,2,,
1,0,1,97.13,0,0,240,320,200,2,,
0,0,1,104.04,0,0,280,320,200,1,,
1,0,0,15.95,1,40,280,320,200,2,,
1,1,0,18.43,1,80,280,320,200,3,,
0,0,0,116.57,0,80,320,320,200,1,,
0,0,0,30.96,1,120,320,320,200,1,,
